1.97172, 0.0282843
1.96, 0.35
1.97464, 0.669066
1.50784, 0.560777
1, 0.46
0.492155, 0.560777
0.0253596, 0.669066
0.04, 0.35
0.0282843, 0.0282843
1, 0.04
1.97172, 0.0282843
1.89172, 0.0292488
1.89172, 0.649829
1.81172, 0.63127
1.81172, 0.0302134
1.73172, 0.0311779
1.73172, 0.612711
1.65172, 0.594153
1.65172, 0.0321424
1.57172, 0.033107
1.57172, 0.575594
1.50784, 0.560777
1.49172, 0.557576
1.49172, 0.0340715
1.41172, 0.035036
1.41172, 0.541701
1.33172, 0.525826
1.33172, 0.0360006
1.25172, 0.0369651
1.25172, 0.509951
1.17172, 0.494075
1.17172, 0.0379297
1.09172, 0.0388942
1.09172, 0.4782
1.01172, 0.462325
1.01172, 0.0398587
1, 0.04
0.931716, 0.0391767
0.931716, 0.47355
0.851716, 0.489426
0.851716, 0.0382122
0.771716, 0.0372476
0.771716, 0.505301
0.691716, 0.521176
0.691716, 0.0362831
0.611716, 0.0353186
0.611716, 0.537051
0.531716, 0.552926
0.531716, 0.034354
0.451716, 0.0333895
0.451716, 0.570158
0.371716, 0.588717
0.371716, 0.0324249
0.291716, 0.0314604
0.291716, 0.607276
0.211716, 0.625835
0.211716, 0.0304959
0.131716, 0.0295313
0.131716, 0.644393
0.0517157, 0.662952
0.0517157, 0.0285668
0.0507191, 0.0285548
0.0507191, 0.663183
